text,label
"An AI-powered social scoring system used by municipal governments to determine citizen eligibility for public housing based on social media behavior." ,Unacceptable_Risk
"A real-time biometric identification system deployed in public spaces for the purpose of indiscriminate mass surveillance by law enforcement." ,Unacceptable_Risk
"An AI application designed to subconsciously manipulate children into performing dangerous physical stunts via gamified challenges in an AR app." ,Unacceptable_Risk
"A predictive policing tool used to identify and target individuals for arrest based on 'innate' personality traits analyzed from facial features." ,Unacceptable_Risk
"A cognitive-behavioral manipulation AI used by employers to secretly discourage workers from exercising their right to collective bargaining." ,Unacceptable_Risk
"An AI system that creates 'trustworthiness' scores for individuals based on their religious and political affiliations to restrict access to travel." ,Unacceptable_Risk
"A biometric emotion recognition system used in the workplace to punish employees who show signs of frustration or fatigue." ,Unacceptable_Risk
"An AI-driven 'vulnerability' scanner that identifies people with gambling addictions to target them with predatory high-stakes loan advertisements." ,Unacceptable_Risk
"A social credit system for schools that ranks children's 'loyalty' to the state and denies higher education to those with low scores." ,Unacceptable_Risk
"An AI tool used by border guards to analyze 'truthfulness' via micro-expressions to automatically deny asylum without human oversight." ,Unacceptable_Risk
"A dark-pattern AI integrated into smart toys that encourages toddlers to share their parents' financial secrets through 'secret' games." ,Unacceptable_Risk
"A real-time remote biometric identification system used by private security to ban 'suspicious' looking people from public town squares." ,Unacceptable_Risk
"An AI algorithm used by insurance companies to predict and induce mental breakdowns in policyholders to invalidate their claims." ,Unacceptable_Risk
"A system that uses subliminal acoustic signals to influence voters' preferences during a live broadcast of a political debate." ,Unacceptable_Risk
"An AI that classifies individuals into 'superior' and 'inferior' social tiers to determine the quality of emergency medical response they receive." ,Unacceptable_Risk
"A predatory AI that monitors funeral notices to automatically generate and send fake debt collection notices to grieving family members." ,Unacceptable_Risk
"An AI system designed to exploit the psychological vulnerabilities of the elderly to coerce them into transferring their life savings to a shell company." ,Unacceptable_Risk
"A mass facial recognition database used by a regime to track the attendance of individuals at peaceful political protests in real-time." ,Unacceptable_Risk
"A 'loyalty' scoring AI used by retail banks to automatically freeze the accounts of customers who donate to environmental activist groups." ,Unacceptable_Risk
"An AI-enabled 'behavioral correction' tool used in prisons that uses electric shocks to punish inmates based on predicted non-compliance." ,Unacceptable_Risk
"A system that uses biometric data to identify and segregate individuals in public transport based on their perceived ethnic origin." ,Unacceptable_Risk
"An AI that analyzes private private communications to identify and report 'potential dissenters' to state security forces before any crime occurs." ,Unacceptable_Risk
"A workplace AI that monitors bathroom breaks and uses subliminal messages to pressure employees into skipping lunch for higher productivity." ,Unacceptable_Risk
"A biometric system used by debt collectors to track and harass debtors in public spaces using facial recognition-linked billboards." ,Unacceptable_Risk
"An AI system designed to deceive users into believing they are talking to a deceased relative to extract sensitive inheritance information." ,Unacceptable_Risk
"An automated AI system used by a national university to rank and filter student applications for medical school based on historical data." ,High_Risk
"A predictive maintenance AI for commercial aviation that determines when jet engines require critical safety overhauls." ,High_Risk
"An AI-powered triage tool used in emergency rooms to prioritize patients for life-saving surgery based on survival probability." ,High_Risk
"A biometric identification system used by police to scan crowds for matches against a specific database of violent crime suspects." ,High_Risk
"An AI algorithm used by a major bank to evaluate the creditworthiness of small business owners applying for expansion loans." ,High_Risk
"A computer vision system installed in autonomous tractors to detect and avoid human workers in high-density farming zones." ,High_Risk
"An AI-based recruitment platform that screens CVs and ranks candidates for a senior software engineering role at a tech firm." ,High_Risk
"A digital tool used by judges to assess the risk of recidivism when determining bail conditions for defendants in criminal trials." ,High_Risk
"An AI system that monitors the attention levels of pilots during long-haul flights and alerts ground control of potential fatigue." ,High_Risk
"A software tool used by public authorities to verify the authenticity of travel documents and visas at international border crossings." ,High_Risk
"An AI that manages the distribution of electricity across a national power grid to prevent localized blackouts during peak demand." ,High_Risk
"A diagnostic AI used by radiologists to identify early-stage malignant tumors in MRI scans of the brain." ,High_Risk
"An automated scoring system used by high schools to grade standardized final exams that determine university eligibility." ,High_Risk
"An AI system used by fire departments to predict the spread of wildfires and optimize the deployment of emergency responders." ,High_Risk
"A biometric time-and-attendance system used by a factory to track employee movements for safety in hazardous chemical zones." ,High_Risk
"An AI tool used by human resources to monitor and evaluate the performance of remote workers for the purpose of promotion or termination." ,High_Risk
"A credit scoring AI that uses alternative data points to determine the interest rates for mortgage applicants." ,High_Risk
"An AI-driven dispatch system for ambulance services that optimizes routes based on real-time traffic and patient urgency." ,High_Risk
"A robotic surgery assistant that uses AI to guide precise incisions during complex cardiovascular procedures." ,High_Risk
"An AI system used by migration authorities to process and rank asylum applications based on country-of-origin risk profiles." ,High_Risk
"A gas leak detection AI that monitors industrial pipelines and automatically triggers emergency shut-off valves." ,High_Risk
"An AI tool used by law enforcement to analyze evidence and predict the likely geographic area of a serial offender's next crime." ,High_Risk
"A software system used by educational institutions to detect cheating during remote proctored exams using gaze tracking." ,High_Risk
"An AI-powered elevator management system in a skyscraper that prioritizes emergency services during a building evacuation." ,High_Risk
"A tool used by insurers to calculate life insurance premiums based on an individual's chronic health data and lifestyle habits." ,High_Risk
"An AI chatbot used by a clothing retailer to help customers find the right size based on their height and weight." ,Limited_Risk
"A generative AI tool used by a marketing agency to create realistic synthetic images of models for a digital ad campaign." ,Limited_Risk
"An AI system that creates 'deepfake' video content of historical figures for use in an educational documentary." ,Limited_Risk
"A customer service bot on a banking website that answers basic questions about opening a new savings account." ,Limited_Risk
"An AI-driven translation tool used by a travel app to provide real-time audio translation for tourists in foreign countries." ,Limited_Risk
"A deepfake detection tool that analyzes video files to determine if the person's likeness has been synthetically altered." ,Limited_Risk
"An AI personality integrated into a smart home hub that can engage in casual conversation and tell jokes to the user." ,Limited_Risk
"A generative AI writing assistant that helps users draft emails and blog posts by suggesting complete sentences." ,Limited_Risk
"An AI-powered avatar in a video game that uses natural language processing to talk to players about in-game quests." ,Limited_Risk
"A synthetic voice generator used by a podcast producer to read listener comments in various regional accents." ,Limited_Risk
"An AI system that automatically labels social media posts as 'AI-generated' if they contain synthetic imagery." ,Limited_Risk
"A virtual makeup try-on tool that uses AR and AI to show how different lipstick shades look on a user's face." ,Limited_Risk
"An AI chatbot used by a pharmacy to help patients check the opening hours and location of their nearest branch." ,Limited_Risk
"A generative AI tool that creates custom background music for YouTube videos based on a user-selected mood." ,Limited_Risk
"An AI-powered 'virtual friend' app designed to provide emotional support and conversation to lonely adults." ,Limited_Risk
"A tool that uses AI to automatically generate subtitles and captions for live television broadcasts." ,Limited_Risk
"An AI system used by a news organization to summarize long investigative reports into short bullet points for social media." ,Limited_Risk
"A generative AI that creates architectural concept sketches based on text descriptions like 'modern sustainable villa'." ,Limited_Risk
"An AI chatbot on a government portal that helps citizens find the correct forms for renewing their driver's license." ,Limited_Risk
"A synthetic image generator used by interior designers to visualize different furniture layouts in a 3D room." ,Limited_Risk
"An AI tool that suggests creative subject lines for email marketing campaigns to improve open rates." ,Limited_Risk
"A virtual concierge in a hotel lobby that uses a synthetic human face to provide guests with restaurant recommendations." ,Limited_Risk
"An AI-powered tool that generates realistic textures for 3D models in professional video game development." ,Limited_Risk
"A customer feedback bot that categorizes user reviews as positive, negative, or neutral for a mobile app." ,Limited_Risk
"An AI system that generates synthetic data for testing software applications without using real customer information." ,Limited_Risk
"A spam filter in an email client that identifies and moves promotional messages to a separate folder." ,Minimal_Risk
"An AI-powered recommendation engine on a streaming platform that suggests movies based on a user's watch history." ,Minimal_Risk
"A smart lawnmower that uses AI to navigate around a garden and avoid hitting stationary objects like trees." ,Minimal_Risk
"An AI system used in a video game to control the behavior of non-player characters during combat sequences." ,Minimal_Risk
"A weather forecasting AI that analyzes atmospheric data to predict local rainfall patterns for the next 24 hours." ,Minimal_Risk
"An AI-driven inventory management system for a grocery store that predicts when to restock milk and bread." ,Minimal_Risk
"A grammar and spell-check tool that highlights typos and suggests corrections in a word processing application." ,Minimal_Risk
"An AI algorithm used by a fitness app to suggest a daily workout routine based on the user's past activity levels." ,Minimal_Risk
"A smart thermostat that learns a homeowner's temperature preferences to optimize heating and cooling efficiency." ,Minimal_Risk
"An AI-powered search engine that ranks web pages based on relevance to a user's specific keyword query." ,Minimal_Risk
"A computer vision system in a factory that counts the number of boxes passing through a conveyor belt." ,Minimal_Risk
"An AI tool used by a professional photographer to automatically sort images by brightness and color temperature." ,Minimal_Risk
"A language learning app that uses AI to help users practice pronunciation by comparing their voice to a native speaker." ,Minimal_Risk
"An AI system in a digital camera that automatically adjusts the focus and exposure for landscape photography." ,Minimal_Risk
"A smart irrigation system that uses AI to water a vineyard only when soil moisture levels drop below a certain point." ,Minimal_Risk
"An AI-powered route optimization tool for a delivery driver that finds the shortest path between ten different houses." ,Minimal_Risk
"A noise-canceling AI integrated into headphones that filters out background sounds like airplane engines." ,Minimal_Risk
"An AI system used by a birdwatching app to identify different species of birds from photos uploaded by users." ,Minimal_Risk
"A predictive text feature on a smartphone keyboard that suggests the next word as the user is typing." ,Minimal_Risk
"An AI-driven playlist generator that creates a 'daily mix' of songs based on a user's favorite music genres." ,Minimal_Risk
"A computer vision tool in a warehouse that identifies damaged pallets before they are loaded onto trucks." ,Minimal_Risk
"An AI-powered chess engine that allows players to practice against different difficulty levels on a mobile app." ,Minimal_Risk
"A smart vacuum cleaner that maps the layout of a living room to ensure it cleans the entire floor surface." ,Minimal_Risk
"An AI tool that optimizes the compression of video files to reduce storage size without losing visual quality." ,Minimal_Risk
"A recipe recommendation AI that suggests meals based on the ingredients a user currently has in their fridge." ,Minimal_Risk
"An AI-driven biometric identification system used by local police to monitor and catalog participants at a peaceful religious gathering for potential future state opposition." ,Unacceptable_Risk
"A cognitive behavioral manipulation AI integrated into a workplace productivity app that uses subliminal visual cues to prevent employees from taking legally mandated breaks." ,Unacceptable_Risk
"A social scoring system used by national healthcare providers to determine eligibility for organ transplants based on an individual's history of online political comments." ,Unacceptable_Risk
"An AI application designed to exploit the psychological vulnerabilities of children by encouraging them to buy expensive in-game items through 'false-friend' digital characters." ,Unacceptable_Risk
"A real-time remote biometric identification system used in a public park to automatically issue fines to individuals based on their 'suspicious' walking patterns." ,Unacceptable_Risk
"An AI system used by a government to predict the likelihood of an individual joining an opposition party and preemptively revoking their travel documents." ,Unacceptable_Risk
"A biometric emotion recognition system used by immigration officers to automatically reject asylum seekers who do not display 'sufficient' levels of distress." ,Unacceptable_Risk
"A dark-pattern AI used in smart home devices that listens for domestic arguments to target the household with advertisements for divorce lawyers and debt services." ,Unacceptable_Risk
"An AI-powered recruitment tool that automatically excludes candidates based on their genetic data or family medical history to reduce future insurance costs." ,Unacceptable_Risk
"A social credit system for the maritime industry that ranks sailors' 'political reliability' and bars those with low scores from entering international waters." ,Unacceptable_Risk
"An AI system designed to influence the voting behavior of neurodivergent individuals by sending them personalized, fear-based misinformation via private messages." ,Unacceptable_Risk
"A biometric system used by a private security firm to track and harass environmental activists across different cities using a shared facial recognition database." ,Unacceptable_Risk
"An AI-driven 'loyalty' monitor used by religious institutions to identify and report members who consume 'unauthorized' secular content online." ,Unacceptable_Risk
"A predictive policing tool used to identify and detain individuals based on their 'predisposition' to crime calculated from their ancestors' criminal records." ,Unacceptable_Risk
"An AI system that uses subliminal messaging in educational software to discourage children from questioning national history as presented by the state." ,Unacceptable_Risk
"A workplace AI that monitors the frequency of employees' eye contact with supervisors and reduces their pay if 'submission metrics' are not met." ,Unacceptable_Risk
"An AI algorithm used by a regime to identify and 're-educate' citizens who use encryption tools on their personal mobile devices." ,Unacceptable_Risk
"A predatory AI that monitors psychiatric hospital discharge records to automatically send high-interest loan offers to vulnerable patients." ,Unacceptable_Risk
"An AI system used by public transport authorities to identify and block 'unproductive citizens' from using trains and buses during peak hours." ,Unacceptable_Risk
